label,key,n_seeds,ece_m,ece_s,conf_retain_m,conf_retain_s,conf_forget_m,conf_forget_s,max_other_m,max_other_s
Before Unlearning,before,1,0.03549124272333251,0.0,0.8751102685928345,0.0,0.7938438057899475,0.0,0.2502306401729584,0.0
Fine-Tuning,ft,3,0.00519626518200945,0.001198315288601208,0.9430574377377828,0.0003161570058868686,0.7446779608726501,0.006370616355828356,0.7293973167737325,0.0074161953577743765
NegGrad+,neggradplus,3,0.45420203582666535,0.0450188883756125,0.8986018101374308,0.004335132123743009,0.9138922890027364,0.018934820379637535,0.9138922890027364,0.018934820379637535
Random Labels,random_labels,3,0.056823608753857786,0.0026246416655684177,0.8775481581687927,0.0025975398898737782,0.22011316319306692,0.002710019841413821,0.22011316319306692,0.002710019841413821
Bad-Teaching,bad_teaching,3,0.09787397410637803,0.008768276593751585,0.7645800908406576,0.007648381237872787,0.36574262380599976,0.024500902679279134,0.3157604932785034,0.025771484003255664
SCRUB,scrub,3,0.013998685383134419,0.0018552275561975434,0.8792614936828613,0.00047223867444417514,0.5933156609535217,0.0014229527801867578,0.48381999135017395,0.005875708362951893
MASUC (Ours),masuc,3,0.03580204842046455,0.0015107663238153235,0.9031914869944254,0.0011055988202791074,0.6275379657745361,0.0004186839335266994,0.5758437712987264,0.0033027416701505927
MASUC w/o EA,masuc_no_ea,3,0.04234535002818814,0.0016114054164597614,0.9084688027699789,0.0010718445984369955,0.6484715342521667,0.0010299310978281958,0.5836350123087565,0.0037144998642085502
MASUC w/o KD,masuc_no_kd,3,0.04957590566575528,0.0013479073947207701,0.8953514893849691,0.0003590540479460534,0.640589435895284,0.0008135462514952679,0.601601779460907,0.002552624717571153
MASUC w/o RA,masuc_no_ra,3,0.014284290208308785,0.0010064223894522084,0.8620967467625936,0.0008132086076625139,0.6532153487205505,0.004669241464233661,0.32832284768422443,0.004903273948261402
MASUC w/o Erasure,masuc_no_erasure,3,0.034368459010013834,0.001428697170159157,0.902666171391805,0.0011007648989817252,0.6245852708816528,0.0004482095819969356,0.5621586640675863,0.0037879059410709133
Retrain (Gold),retrain,3,0.021483290672854146,0.009938914230595968,0.8710067669550577,0.0017214608000418897,0.6726610859235128,0.04236251029331785,0.6726610859235128,0.04236251029331785
