label,key,n_seeds,auc_loss_m,auc_loss_s,auc_conf_m,auc_conf_s,auc_ent_m,auc_ent_s,adv_loss_m,adv_loss_s
Before Unlearning,before,1,0.5314742,0.0,0.5133722000000001,0.0,0.5130966,0.0,0.5344,0.0
Fine-Tuning,ft,3,0.5232399333333333,0.0013106568747514567,0.5072366,0.0015612409391250555,0.5038131666666666,0.00018198528328777005,0.5270666666666667,0.0025423086620891227
NegGrad+,neggradplus,3,0.5031029666666668,0.0003126929697536247,0.5017883333333334,0.005426925544296045,0.5020706333333332,0.005267276364814481,0.5116999999999999,0.0013999999999999727
Random Labels,random_labels,3,0.553427,0.0013026896368667086,0.44121089999999996,0.003032276458372459,0.43667353333333336,0.0011324425695518664,0.5464333333333333,0.0014364307617610473
Bad-Teaching,bad_teaching,3,0.5402527999999999,0.0013588206209798508,0.4733313333333333,0.007637535676075971,0.47229493333333333,0.005782710380378164,0.5374333333333333,0.0017473789896108127
SCRUB,scrub,3,0.5415939333333334,0.0008999285823515634,0.4966021,0.0036009750193523337,0.5037957999999999,0.003358943446978557,0.5343333333333334,0.0014011899704655948
MASUC (Ours),masuc,3,0.5477328,0.0014269897406779248,0.4691986666666666,0.014248099200010272,0.46694036666666666,0.009710891646153486,0.5399666666666666,0.0017925772879664658
MASUC w/o EA,masuc_no_ea,3,0.5485954,0.0009237938298126738,0.4715971666666667,0.007995565578702566,0.47055616666666666,0.0053314965256795474,0.5394333333333333,0.00368962509387245
MASUC w/o KD,masuc_no_kd,3,0.5476344999999999,0.0030430702604442536,0.4695155,0.010913652262647911,0.46816399999999997,0.007297918286744496,0.5396666666666666,0.0008504900548115577
MASUC w/o RA,masuc_no_ra,3,0.5470937,0.0024415331638132027,0.4696861333333333,0.0015221404184020712,0.46840780000000004,0.0019742141322561853,0.5357333333333334,0.002550163393458018
MASUC w/o Erasure,masuc_no_erasure,3,0.5496621333333332,0.0015519897594164218,0.46936433333333333,0.01239461222359669,0.4673719666666667,0.009806734762566691,0.5403666666666666,0.0013650396819629255
Retrain (Gold),retrain,3,0.5059497,0.009170665306835723,0.5004754,0.01065685204129252,0.4998892333333333,0.007319683375893607,0.5104666666666667,0.0019731531449265365
