forget_class,method,n_seeds,retain_mean,retain_std,forget_mean,forget_std
3,FT,3,0.9428148148148149,0.0008190127550924372,0.03666666666666667,0.00404145188432738
3,NegGrad+,3,0.4445925925925926,0.04313692430717712,0.0,0.0
3,Random Labels,3,0.9343703703703703,0.0020497917188180316,0.0,0.0
3,Bad-Teaching,3,0.8624444444444443,0.005892032703805706,0.24233333333333332,0.10807559083036895
3,SCRUB,3,0.884962962962963,0.0017719812909490057,0.2856666666666667,0.010969655114602878
3,MASUC (Ours),3,0.8675925925925926,0.0019127039012852083,0.111,0.005567764362830027
3,Retrain (Gold),3,0.8505925925925926,0.012804963029595204,0.0,0.0
5,FT,3,0.9386296296296296,0.001931970571221503,0.036,0.010392304845413265
5,NegGrad+,3,0.5159259259259259,0.10659640818847099,0.0,0.0
5,Random Labels,3,0.9277407407407408,0.002831335533869127,0.0,0.0
5,Bad-Teaching,3,0.7945185185185185,0.016465577011980113,0.2663333333333333,0.36916166287052793
5,SCRUB,3,0.8787407407407407,0.001112961422319746,0.013666666666666667,0.002081665999466133
5,MASUC (Ours),3,0.8308148148148149,0.002558774140654209,0.135,0.005291502622129186
5,Retrain (Gold),3,0.8553333333333333,0.007893582328405062,0.0,0.0
7,FT,3,0.923074074074074,0.0012239045660635901,0.367,0.02306512518934158
7,NegGrad+,3,0.6262222222222221,0.08999156339058392,0.0,0.0
7,Random Labels,3,0.914,0.00050917507721732,0.0,0.0
7,Bad-Teaching,3,0.8381851851851851,0.004051113752259302,0.516,0.05204805471869243
7,SCRUB,3,0.8622962962962962,0.001556877744961759,0.21166666666666667,0.008962886439832509
7,MASUC (Ours),3,0.836,0.003379312516832325,0.18666666666666668,0.002886751345948131
7,Retrain (Gold),3,0.8251111111111111,0.009923783627300732,0.0,0.0
